StoreName,City,State,Longitude,Latitude,Geometry,Address,Tel,Url
Trader Joe's Brea (11),Brea,California,-117.86798884922258,33.9106372,POINT (-117.8679888492226 33.9106372),"El Pollo Loco, 2500, Imperial Highway, Brea, Orange County, California, 92821, United States",714-257-1180,https://locations.traderjoes.com/ca/brea/
Trader Joe's Brentwood (201),Brentwood,California,-121.7248262,37.9615673,POINT (-121.7248262 37.9615673),"Lone Tree Way, Arbor, Brentwood, Contra Costa County, California, 94561, United States",925-516-3044,https://locations.traderjoes.com/ca/brentwood/
Trader Joe's Burbank (124),Burbank,California,-118.3046474,34.169838,POINT (-118.3046474 34.169838),"Alameda Avenue, Burbank, Los Angeles County, California, 91502, United States",818-848-4299,https://locations.traderjoes.com/ca/burbank/
Trader Joe's Calabasas (254),Calabasas,California,-118.6417219,34.1565102,POINT (-118.6417219 34.1565102),"Calabasas Road, Calabasas, Los Angeles County, California, 91302-1405, United States",818-591-6758,https://locations.traderjoes.com/ca/calabasas/
Trader Joe's Camarillo (114),Camarillo,California,-119.0529016,34.2197911,POINT (-119.0529016 34.2197911),"Trader Joe's, 363, North Carmen Drive, Camarillo, Ventura County, California, 93010, United States",805-388-1925,https://locations.traderjoes.com/ca/camarillo/
Trader Joe's Campbell (73),Campbell,California,-121.9326934,37.2889359,POINT (-121.9326934 37.2889359),"Classy Nails, 1875, South Bascom Avenue, Campbell, Santa Clara County, California, 95008, United States",408-369-7823,https://locations.traderjoes.com/ca/campbell/
Trader Joe's Capitola (64),Capitola,California,-121.9688669,36.9787769,POINT (-121.9688669 36.9787769),"Bicycle Trip, 3555, Clares Street, Capitola, Santa Cruz County, California, 95010, United States",831-464-0115,https://locations.traderjoes.com/ca/capitola/
Trader Joe's Carlsbad (220),Carlsbad,California,-117.25466436218007,33.1266502,POINT (-117.2546643621801 33.1266502),"Trader Joe's, 2629, Gateway Road, Bressi Ranch, Carlsbad, San Diego County, California, 92009, United States",760-603-8473,https://locations.traderjoes.com/ca/carlsbad/
Trader Joe's Castro Valley (84),Castro Valley,California,-122.07303555323337,37.6854582,POINT (-122.0730355532334 37.6854582),"Trader Joe's, 22224, Redwood Road, Castro Valley, Alameda County, California, 94546, United States",510-538-2738,https://locations.traderjoes.com/ca/castro-valley/
Trader Joe's Cathedral City (118),Cathedral City,California,-116.4534956,33.7764151,POINT (-116.4534956 33.7764151),"East Palm Canyon Drive, Cathedral City, Riverside County, California, 92270, United States",760-202-0090,https://locations.traderjoes.com/ca/cathedral-city/
Trader Joe's Cerritos (104),Cerritos,California,-118.058037,33.8689672,POINT (-118.058037 33.8689672),"Trader Joe's, 12861, Towne Center Drive, Cerritos, Los Angeles County, California, 90703, United States",562-402-5148,https://locations.traderjoes.com/ca/cerritos/
Trader Joe's Chatsworth (184),Chatsworth,California,-118.57972391836735,34.25792930612245,POINT (-118.5797239183673 34.25792930612245),"10330, Mason Avenue, Chatsworth, Los Angeles, Los Angeles County, California, 91311, United States",818-341-3010,https://locations.traderjoes.com/ca/chatsworth/
Trader Joe's Chico (199),Chico,California,-121.84629440832246,39.76071478600568,POINT (-121.8462944083225 39.76071478600568),"801, East Avenue, Chico, Butte County, California, 95926, United States",530-343-9920,https://locations.traderjoes.com/ca/chico/
Trader Joe's Chino Hills (216),Chino Hills,California,-117.731996,34.0003623,POINT (-117.731996 34.0003623),"13911, Peyton Drive, Chino Hills, San Bernardino County, California, 91709, United States",909-627-1404,https://locations.traderjoes.com/ca/chino-hills/
Trader Joe's Chula Vista (120),Chula Vista,California,-116.9669358,32.6517938,POINT (-116.9669358 32.6517938),"Eastlake Parkway, Chula Vista, San Diego County, California, 91913, United States",619-656-5370,https://locations.traderjoes.com/ca/chula-vista/
Trader Joe's Claremont (214),Claremont,California,-117.72196881545597,34.10734225,POINT (-117.721968815456 34.10734225),"Trader Joe's, 475, Foothill Boulevard, Claremont, Los Angeles County, California, 91711, United States",909-625-8784,https://locations.traderjoes.com/ca/claremont/
Trader Joe's Clovis (180),Clovis,California,-119.7273369,36.8096416,POINT (-119.7273369 36.8096416),"Willow Avenue, Clovis, Fresno County, California, 93612, United States",559-325-3120,https://locations.traderjoes.com/ca/clovis/
Trader Joe's Concord (60),Concord,California,-122.0485983,37.9800456,POINT (-122.0485983 37.9800456),"Concord Avenue, Stanwell Industrial Park, Concord, Contra Costa County, California, 94520, United States",925-689-2990,https://locations.traderjoes.com/ca/concord/
Trader Joe's Concord (83),Concord,California,-122.0249626154943,37.93845651854683,POINT (-122.0249626154943 37.93845651854683),"785, Oak Grove Road, Oak Grove Plaza, Meinert, Concord, Contra Costa County, California, 94518, United States",925-521-1134,https://locations.traderjoes.com/ca/concord/
Trader Joe's Corona (213),Corona,California,-117.50516419213984,33.812926193997924,POINT (-117.5051641921398 33.81292619399792),"2790, Cabot Drive, Shady Grove / Owens Cove at Dos Lagos, Dos Lagos, Corona, Riverside County, California, 92883, United States",951-603-0299,https://locations.traderjoes.com/ca/corona/
Trader Joe's Costa Mesa (35),Costa Mesa,California,-117.9260494857369,33.636242879285525,POINT (-117.9260494857369 33.63624287928553),"640, West 17th Street, Costa Mesa, Orange County, California, 92627, United States",949-642-5134,https://locations.traderjoes.com/ca/costa-mesa/
Trader Joe's Culver City (251),Culver City,California,-118.4000402,33.9893998,POINT (-118.4000402 33.9893998),"Slauson Avenue, Fox Hills, Culver City, Los Angeles County, California, 90230-6482, United States",310-313-0441,https://locations.traderjoes.com/ca/culver-city/
Trader Joe's Culver City (36),Culver City,California,-118.4015257,34.0149121,POINT (-118.4015257 34.0149121),"Culver Boulevard, Culver City, Los Angeles County, California, 90293, United States",310-202-1108,https://locations.traderjoes.com/ca/culver-city/
Trader Joe's Daly City (74),Daly City,California,-122.48246291885597,37.699608299999994,POINT (-122.482462918856 37.69960829999999),"Westlake Shopping Center, Daly City, San Mateo County, California, United States",650-755-3825,https://locations.traderjoes.com/ca/daly-city/
Trader Joe's Danville (65),Danville,California,-121.9965852,37.8187154,POINT (-121.9965852 37.8187154),"Railroad Avenue, Danville, Contra Costa County, California, 94526, United States",925-838-5757,https://locations.traderjoes.com/ca/danville/
Trader Joe's Davis (182),Davis,California,-121.76144317942193,38.54643301895748,POINT (-121.7614431794219 38.54643301895748),"885, Russell Boulevard, Davis, Yolo County, California, 95616, United States",530-757-2693,https://locations.traderjoes.com/ca/davis/
Trader Joe's Eagle Rock (55),Eagle Rock,California,-118.2003767229067,34.1390854,POINT (-118.2003767229067 34.1390854),"Trader Joe's, 1566, Colorado Boulevard, Eagle Rock, Los Angeles, Los Angeles County, California, 90041-1238, United States",323-257-6422,https://locations.traderjoes.com/ca/eagle-rock/
Trader Joe's El Cerrito (108),El Cerrito,California,-122.2995747,37.8988539,POINT (-122.2995747 37.8988539),"Trader Joe's, 225, El Cerrito Plaza, El Cerrito, Contra Costa County, California, 94530, United States",510-524-7609,https://locations.traderjoes.com/ca/el-cerrito/
Trader Joe's Elk Grove (190),Elk Grove,California,-121.41776281818181,38.405584227272726,POINT (-121.4177628181818 38.40558422727273),"9670, Bruceville Road, Elk Grove, Sacramento County, California, 95757, United States",916-686-9980,https://locations.traderjoes.com/ca/elk-grove/
Trader Joe's Emeryville (72),Emeryville,California,-122.29425468095707,37.83702795,POINT (-122.2942546809571 37.83702795),"Trader Joe's, 5700;5751;5761;5765;5767;5769;5777;5791, Christie Avenue, Emeryville, Alameda County, California, 94608, United States",510-658-8091,https://locations.traderjoes.com/ca/emeryville/
Trader Joe's Encinitas (25),Encinitas,California,-117.25579658674755,33.047076849999996,POINT (-117.2557965867476 33.04707685),"Trader Joe's, 115, North El Camino Real, Encinitas, San Diego County, California, 92024, United States",760-634-2114,https://locations.traderjoes.com/ca/encinitas/
Trader Joe's Encino (56),Encino,California,-118.4942776,34.1674442,POINT (-118.4942776 34.1674442),"Burbank Boulevard, Encino, Los Angeles, Los Angeles County, California, 91316-3402, United States",818-990-7751,https://locations.traderjoes.com/ca/encino/
Trader Joe's Escondido (105),Escondido,California,-117.07407708250577,33.101054074213096,POINT (-117.0740770825058 33.1010540742131),"1885, South Centre City Parkway, Escondido, San Diego County, California, 92025, United States",760-233-4020,https://locations.traderjoes.com/ca/escondido/
Trader Joe's Fairfield (101),Fairfield,California,-122.0530019407513,38.2641302,POINT (-122.0530019407513 38.2641302),"1350, Gateway Boulevard, Fairfield, Solano County, California, 94533, United States",707-434-0144,https://locations.traderjoes.com/ca/fairfield/
Trader Joe's Fair Oaks (71),Fair Oaks,California,-121.27228041873785,38.66254885660255,POINT (-121.2722804187379 38.66254885660255),"5309, Sunrise Boulevard, Fair Oaks, Sacramento County, California, 95628, United States",916-863-1744,https://locations.traderjoes.com/ca/fair-oaks/
Trader Joe's Folsom (172),Folsom,California,-121.1558851,38.6724297,POINT (-121.1558851 38.6724297),"Trader Joe's, 850, East Bidwell Street, Folsom, Sacramento County, California, 95630, United States",916-817-8820,https://locations.traderjoes.com/ca/folsom/
Trader Joe's Fremont (77),Fremont,California,-121.9860846,37.5435716,POINT (-121.9860846 37.5435716),"Trader Joe's, 39324, Argonaut Way, Centerville District, Fremont, Alameda County, California, 94536, United States",510-794-1386,https://locations.traderjoes.com/ca/fremont/
Trader Joe's Fresno (8),Fresno,California,-119.7892605,36.854647785714285,POINT (-119.7892605 36.85464778571428),"8478, North Friant Road, Fresno, Fresno County, California, 93720, United States",559-433-6478,https://locations.traderjoes.com/ca/fresno/
Trader Joe's Glendale (53),Glendale,California,-118.2818618,34.165312,POINT (-118.2818618 34.165312),"Glenoaks Boulevard, Glendale, Los Angeles County, California, 91201, United States",818-507-8192,https://locations.traderjoes.com/ca/glendale/
Trader Joe's Goleta (110),Goleta,California,-119.82448748780487,34.441187024390246,POINT (-119.8244874878049 34.44118702439025),"5767, Calle Real, Goleta, Santa Barbara County, California, 93117, United States",805-692-2234,https://locations.traderjoes.com/ca/goleta/
Trader Joe's Granada Hills (44),Granada Hills,California,-118.50209871428571,34.27238357142857,POINT (-118.5020987142857 34.27238357142857),"11114, Balboa Boulevard, Granada Hills, Los Angeles, Los Angeles County, California, 91344, United States",818-368-6461,https://locations.traderjoes.com/ca/granada-hills/
Trader Joe's Larkspur (235),Greenbrae,California,-122.5151887799617,37.94123071584993,POINT (-122.5151887799617 37.94123071584993),"2052, Redwood Highway, Greenbrae Marina, Larkspur, Marin County, California, 94904, United States",415-945-7955,https://locations.traderjoes.com/ca/greenbrae/
Trader Joe's Hermosa Beach (248),Hermosa Beach,California,-118.391905,33.8639002,POINT (-118.391905 33.8639002),"Trader Joe's, 1100, Pacific Coast Highway, Hermosa Beach, Los Angeles County, California, 90254, United States",310-318-1767,https://locations.traderjoes.com/ca/hermosa-beach/
Trader Joe's Huntington Beach (47),Huntington Beach,California,-117.99303291768072,33.69090492770224,POINT (-117.9930329176807 33.69090492770224),"18681, Main Street, La Bolsa, Huntington Beach, Orange County, California, 92648, United States",714-848-9640,https://locations.traderjoes.com/ca/huntington-beach/
Trader Joe's Huntington Beach - Brookhurst (241),Huntington Beach,California,-117.95341819620644,33.651263050991815,POINT (-117.9534181962064 33.65126305099182),"21431, Brookhurst Street, Huntington Beach, Orange County, California, 92646, United States",714-968-4070,https://locations.traderjoes.com/ca/huntington-beach/
Trader Joe's Huntington Harbour (244),Huntington Beach,California,-118.05019314285714,33.71785857142857,POINT (-118.0501931428571 33.71785857142857),"16821, Algonquin Street, Huntington Beach, Orange County, California, 92649, United States",714-846-7307,https://locations.traderjoes.com/ca/huntington-beach/
Trader Joe's Irvine - University Ctr (111),Irvine,California,-117.8375537,33.6503583,POINT (-117.8375537 33.6503583),"Trader Joe's, 4225, Campus Drive, University Town Center, Irvine, Orange County, California, 92612, United States",949-509-6138,https://locations.traderjoes.com/ca/irvine/
Trader Joe's Irvine -  Walnut Village Ctr (37),Irvine,California,-117.78842589754542,33.706157000000005,POINT (-117.7884258975454 33.706157),"Trader Joe's, 14443, Culver Drive, Walnut, Irvine, Orange County, California, 92604, United States",949-857-8108,https://locations.traderjoes.com/ca/irvine/
Trader Joe's Irvine - Woodbury Town Center (210),Irvine,California,-117.74330200983684,33.698505850000004,POINT (-117.7433020098368 33.69850585),"Trader Joe's, 6222, Irvine Boulevard, Woodbury Lane, Woodbury, Irvine, Orange County, California, 92620, United States",949-551-6402,https://locations.traderjoes.com/ca/irvine/
Trader Joe's La Canada (42),La Canada,California,-118.18837637471657,34.2000835,POINT (-118.1883763747166 34.2000835),"Trader Joe's, 475, Foothill Boulevard, La Cañada Flintridge, Los Angeles County, California, 91011, United States",818-790-6373,https://locations.traderjoes.com/ca/la-canada/
Trader Joe's Lafayette (115),Lafayette,California,-122.127369,37.890779,POINT (-122.127369 37.890779),"3649, Mount Diablo Boulevard, Lafayette, Contra Costa County, California, 94549, United States",925-299-9344,https://locations.traderjoes.com/ca/lafayette/
Trader Joe's Laguna Hills (39),Laguna Hills,California,-117.70299680553677,33.6098451,POINT (-117.7029968055368 33.6098451),"Lone Star Steak and Saloon, 24231, Avenida De La Carlota, Laguna Hills, Orange County, California, 92653, United States",949-461-0927,https://locations.traderjoes.com/ca/laguna-hills/
Trader Joe's Laguna Niguel - Ocean Ranch (103),Laguna Niguel,California,-117.69660483843954,33.4930125,POINT (-117.6966048384395 33.4930125),"32351, Golden Lantern Street, Laguna Niguel, Orange County, California, 92677, United States",949-493-8599,https://locations.traderjoes.com/ca/laguna-niguel/
Trader Joe's La Habra,La Habra,California,-117.9721284,33.9173017,POINT (-117.9721284 33.9173017),"East Imperial Highway, La Habra, Orange County, California, 90631, United States",562-266-1428,https://locations.traderjoes.com/ca/la-habra/
Trader Joe's La Jolla (20),La Jolla,California,-117.232406,32.865636,POINT (-117.232406 32.865636),"Trader Joe's, 8657, Villa La Jolla Drive, La Jolla Colony, San Diego, San Diego County, California, 92161, United States",858-546-8629,https://locations.traderjoes.com/ca/la-jolla/
Trader Joe's La Mesa (24),La Mesa,California,-117.00561,32.779306,POINT (-117.00561 32.779306),"5495, Grossmont Center Drive, La Mesa, San Diego County, California, 91942, United States",619-466-0105,https://locations.traderjoes.com/ca/la-mesa/
Trader Joe's La Quinta (189),La Quinta,California,-116.295067,33.71123526373183,POINT (-116.295067 33.71123526373183),"46400, Washington Street, La Quinta, Riverside County, California, 92253, United States",760-777-1553,https://locations.traderjoes.com/ca/la-quinta/
Trader Joe's Livermore (208),Livermore,California,-121.78156861656892,37.6802451,POINT (-121.7815686165689 37.6802451),"Brickyard Shopping Center, 1082;1084;1086;1088;1090;1092;1094;1096;1098;1100;1102;1104;1106;1108;1110;1118;1120;1122, East Stanley Boulevard, Livermore, Alameda County, California, 94551, United States",925-243-1947,https://locations.traderjoes.com/ca/livermore/
Trader Joe's Long Beach - Bellflower Blvd (194),Long Beach,California,-118.12521165306123,33.79676481632654,POINT (-118.1252116530612 33.79676481632654),"2222, North Bellflower Boulevard, Los Altos, Long Beach, Los Angeles County, California, 90815, United States",562-596-2514,https://locations.traderjoes.com/ca/long-beach/
Trader Joe's Long Beach - Bixby Knolls (116),Long Beach,California,-118.18935379591838,33.834825836734694,POINT (-118.1893537959184 33.83482583673469),"4210, Long Beach Boulevard, Bixby Knolls, Long Beach, Los Angeles County, California, 90807, United States",562-422-1020,https://locations.traderjoes.com/ca/long-beach/
Trader Joe's Long Beach - Pch (43),Long Beach,California,-118.11161869798657,33.75868397315436,POINT (-118.1116186979866 33.75868397315436),"6451, Pacific Coast Highway, Marina Pacifica, Naples, Long Beach, Los Angeles County, California, 90803, United States",562-596-4388,https://locations.traderjoes.com/ca/long-beach/
Trader Joe's Los Altos (127),Los Altos,California,-122.066598,37.3363953,POINT (-122.066598 37.3363953),"PostalAnnex, 2310, Homestead Road, Los Altos, Santa Clara County, California, 94024, United States",408-245-1917,https://locations.traderjoes.com/ca/los-altos/
Trader Joe's Hollywood (206),Los Angeles,California,-118.326466,34.1000166,POINT (-118.326466 34.1000166),"Trader Joe's, 1600, Vine Street, Hollywood, Los Angeles, Los Angeles County, California, 90028, United States",323-856-0689,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Los Angeles (31),Los Angeles,California,-118.34413327272728,34.07561372727273,POINT (-118.3441332727273 34.07561372727273),"263, North La Brea Avenue, La Brea Ave, Los Angeles, Hancock Park, Los Angeles, Los Angeles County, California, 90036, United States",323-965-1989,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Los Angeles - 3Rd & Fairfax (240),Los Angeles,California,-118.3696225,34.0349752,POINT (-118.3696225 34.0349752),"South Fairfax Avenue, Mid-City, Los Angeles, Los Angeles County, California, 90064, United States",323-931-4012,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Los Angeles - Burton Way (237),Los Angeles,California,-118.3806069,34.0723632,POINT (-118.3806069 34.0723632),"Burton Way, Beverly Grove, Los Angeles, Los Angeles County, California, 90211, United States",310-248-2984,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Olympic Blvd (215),Los Angeles,California,-118.4621349,34.0308209,POINT (-118.4621349 34.0308209),"Olympic Boulevard, Sawtelle, Santa Monica, Los Angeles County, California, 90404, United States",310-477-5949,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Silver Lake (17),Los Angeles,California,-118.27164630686305,34.107703900000004,POINT (-118.271646306863 34.1077039),"Trader Joe's, 2738, Hyperion Avenue, Los Angeles, Los Angeles County, California, 90027, United States",323-665-6774,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Sunset Blvd (192),Los Angeles,California,-118.2468654,34.0631296,POINT (-118.2468654 34.0631296),"Sunset Boulevard, Bunker Hill, Downtown, Los Angeles, Los Angeles County, California, 90012-2410, United States",323-822-7663,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Usc Village (250),Los Angeles,California,-118.2848075,34.0257159,POINT (-118.2848075 34.0257159),"Trader Joe's, 3131, Hoover Street, University Park, Los Angeles, Los Angeles County, California, 90089, United States",213-749-1497,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's West Los Angeles (7),Los Angeles,California,-118.421648,34.030118,POINT (-118.421648 34.030118),"10850, National Boulevard, Palms, Los Angeles, Los Angeles County, California, 90064, United States",310-470-1917,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's West Los Angeles - Sepulveda (119),Los Angeles,California,-118.422068,34.0203234,POINT (-118.422068 34.0203234),"Trader Joe's, 3456, Sepulveda Boulevard, Palms, Los Angeles, Los Angeles County, California, 90066-3941, United States",310-836-2458,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Westwood (234),Los Angeles,California,-118.4439469,34.0621165,POINT (-118.4439469 34.0621165),"Trader Joe's, 1000, Glendon Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",310-824-1495,https://locations.traderjoes.com/ca/los-angeles/
Trader Joe's Los Gatos (181),Los Gatos,California,-121.958614,37.2445654,POINT (-121.958614 37.2445654),"15466 Los Gatos Boulevard, Los Gatos Boulevard, Los Gatos, Santa Clara County, California, 95032-2502, United States",408-356-2324,https://locations.traderjoes.com/ca/los-gatos/
Trader Joe's Manhattan Beach Blvd (34),Manhattan Beach,California,-118.38026663265306,33.88743451020408,POINT (-118.3802666326531 33.88743451020408),"1821, Manhattan Beach Boulevard, Manhattan Village, Manhattan Beach, Los Angeles County, California, 90266, United States",310-372-1274,https://locations.traderjoes.com/ca/manhattan-beach/
Trader Joe's Manhattan Beach - Rosecrans Blvd (106),Manhattan Beach,California,-118.394373,33.901803,POINT (-118.394373 33.901803),"Rosecrans Avenue, Manhattan Village, Manhattan Beach, Los Angeles County, California, 90266, United States",310-725-9800,https://locations.traderjoes.com/ca/manhattan-beach/
Trader Joe's Marina Del Rey (205),Marina Del Rey,California,-118.4413032718534,33.9795353,POINT (-118.4413032718534 33.9795353),"Trader Joe's, 4675, Admiralty Way, Marina del Rey, Los Angeles County, California, 90292, United States",310-301-4461,https://locations.traderjoes.com/ca/marina-del-rey/
Trader Joe's Menlo Park (69),Menlo Park,California,-122.1832816,37.4512178,POINT (-122.1832816 37.4512178),"720, Menlo Avenue, Downtown Menlo Park, Menlo Park, San Mateo County, California, 94025, United States",650-323-2134,https://locations.traderjoes.com/ca/menlo-park/
Trader Joe's Millbrae (170),Millbrae,California,-122.3959012,37.6038042,POINT (-122.3959012 37.6038042),"Trader Joe's, 765, Broadway, Millbrae, San Mateo County, California, 94030, United States",650-259-9142,https://locations.traderjoes.com/ca/millbrae/
Trader Joe's Milpitas (229),Milpitas,California,-121.8994521,37.4123238,POINT (-121.8994521 37.4123238),"Trader Joe's, 1306, Great Mall Parkway, Milpitas, Santa Clara County, California, 95035, United States",408-942-6957,https://locations.traderjoes.com/ca/milpitas/
