StoreName,City,State,Longitude,Latitude,Geometry,Address,Tel,Url
Trader Joe's Birmingham (737),Birmingham,Alabama,-86.7296304,33.4465102,POINT (-86.7296304 33.4465102),"Trader Joe's, 205, Summit Boulevard, The Summit, Birmingham, Jefferson County, Alabama, 35243, United States",205-969-7801,https://locations.traderjoes.com/al/birmingham/
Trader Joe's Huntsville (785),Huntsville,Alabama,-86.6657541,34.7407671,POINT (-86.6657541 34.7407671),"Mid City Drive, Huntsville, Madison County, Alabama, 35814, United States",256-890-7156,https://locations.traderjoes.com/al/huntsville/
Trader Joe's Little Rock (756),Little Rock,Arkansas,-92.40162421894271,34.74820895,POINT (-92.40162421894271 34.74820895),"11500, Financial Centre Parkway, Little Rock, Pulaski County, Arkansas, 72211, United States",501-954-7659,https://locations.traderjoes.com/ar/little-rock/
Trader Joe's Gilbert (Santan) (285),Gilbert,Arizona,-111.72369653446924,33.31370025,POINT (-111.7236965344692 33.31370025),"Williams Field High School, 2076, South Higley Road, Gilbert, Maricopa County, Arizona, 85295, United States",480-857-9878,https://locations.traderjoes.com/az/gilbert/
Trader Joe's Glendale (85),Glendale,Arizona,-112.22651922015237,33.63929255,POINT (-112.2265192201524 33.63929255),"Trader Joe's, 7720, West Bell Road, Glendale, Maricopa County, Arizona, 85308, United States",623-776-7414,https://locations.traderjoes.com/az/glendale/
Trader Joe's Mesa (89),Mesa,Arizona,-111.87832297347526,33.37863278153081,POINT (-111.8783229734753 33.37863278153081),"2050, West Baseline Road, Dobson Shores, Mesa, Maricopa County, Arizona, 85202, United States",480-632-0951,https://locations.traderjoes.com/az/mesa/
Trader Joe's Oro Valley (96),Oro Valley,Arizona,-110.9732578,32.3505043,POINT (-110.9732578 32.3505043),"Trader Joe's, 7912, North Oracle Road, Oro Valley, Pima County, Arizona, 85704, United States",520-797-4207,https://locations.traderjoes.com/az/oro-valley/
Trader Joe's Ahwatukee (177),Phoenix,Arizona,-111.9944973,33.3040314,POINT (-111.9944973 33.3040314),"Trader Joe's, 4025, East Chandler Boulevard, Phoenix, Maricopa County, Arizona, 85048, United States",480-759-2295,https://locations.traderjoes.com/az/phoenix/
Trader Joe's Paradise Valley (282),Phoenix,Arizona,-111.97904476833308,33.583408950000006,POINT (-111.9790447683331 33.58340895000001),"Trader Joe's, 4726, East Shea Boulevard, Firebrand Ranch, Phoenix, Maricopa County, Arizona, 85028, United States",602-485-7788,https://locations.traderjoes.com/az/phoenix/
Trader Joe's Phoenix - Town & Country (90),Phoenix,Arizona,-112.0377882,33.5070981,POINT (-112.0377882 33.5070981),"Trader Joe's, 4821, North 20th Street, Phoenix, Maricopa County, Arizona, 85016, United States",602-912-9022,https://locations.traderjoes.com/az/phoenix/
Trader Joe's Prescott (283),Prescott,Arizona,-112.4135195,34.5396978,POINT (-112.4135195 34.5396978),"Lee Boulevard, Prescott, Yavapai County, Arizona, 86301-6731, United States",928-443-9075,https://locations.traderjoes.com/az/prescott/
Trader Joe's Queen Creek (286),Queen Creek,Arizona,-111.6379281,33.2512266,POINT (-111.6379281 33.2512266),"South Ellsworth Loop Road, Queen Creek, Maricopa County, Arizona, 85142, United States",480-877-7213,https://locations.traderjoes.com/az/queen-creek/
Trader Joe's N Scottsdale (87),Scottsdale,Arizona,-111.91718349224256,33.6359175,POINT (-111.9171834922426 33.6359175),"Trader Joe's, 7555, East Frank Lloyd Wright Boulevard, The Promenade, Scottsdale, Maricopa County, Arizona, 85260, United States",480-367-8920,https://locations.traderjoes.com/az/scottsdale/
Trader Joe's Scottsdale (94),Scottsdale,Arizona,-111.94725435000001,33.588397349999994,POINT (-111.94725435 33.58839734999999),"6202, East Shangri La Road, Phoenix, Maricopa County, Arizona, 85254, United States",480-948-9886,https://locations.traderjoes.com/az/scottsdale/
Trader Joe's Surprise (92),Surprise,Arizona,-112.3673908,33.6513536,POINT (-112.3673908 33.6513536),"Trader Joe's, 14095, Grand Avenue, Surprise, Maricopa County, Arizona, 85374, United States",623-546-1640,https://locations.traderjoes.com/az/surprise/
Trader Joe's Asu (91),Tempe,Arizona,-111.95135938775509,33.42200281632653,POINT (-111.9513593877551 33.42200281632653),"940, West University Drive, Tempe, Maricopa County, Arizona, 85281, United States",480-303-9974,https://locations.traderjoes.com/az/tempe/
Trader Joe's Tempe (93),Tempe,Arizona,-111.912441,33.36175165,POINT (-111.912441 33.36175165),"Trader Joe's, 6460, South McClintock Drive, The Landings, Tempe, Maricopa County, Arizona, 85283, United States",480-838-4142,https://locations.traderjoes.com/az/tempe/
Trader Joe's Tucson (95),Tucson,Arizona,-110.8431706,32.1217298,POINT (-110.8431706 32.1217298),"Wilmot, South Kolb Road, Wilmot, Pima County, Arizona, 85756-9607, United States",520-733-1313,https://locations.traderjoes.com/az/tucson/
Trader Joe's Tucson - Campbell & Limberlost (191),Tucson,Arizona,-110.94473654928942,32.283513799999994,POINT (-110.9447365492894 32.28351379999999),"Trader Joe's, 4209, North Campbell Avenue, Campus Farm, Tucson, Pima County, Arizona, 85719, United States",520-325-0069,https://locations.traderjoes.com/az/tucson/
Trader Joe's Tucson - Crossroads (88),Tucson,Arizona,-110.89091864953642,32.24979955,POINT (-110.8909186495364 32.24979955),"Trader Joe's, 4766, East Grant Road, Tucson, Pima County, Arizona, 85712, United States",520-323-4500,https://locations.traderjoes.com/az/tucson/
Trader Joe's Agoura Hills (247),Agoura Hills,California,-118.75657730568005,34.14648905,POINT (-118.7565773056801 34.14648905),"Trader Joe's, 28941, Canwood Street, Malibu Junction, Agoura Hills, Los Angeles County, California, 91301, United States",818-865-8217,https://locations.traderjoes.com/ca/agoura-hills/
Trader Joe's Alameda (109),Alameda,California,-122.2494944,37.7568833,POINT (-122.2494944 37.7568833),"South Shore Center & Park Street, Park Street, South Shore, Alameda, Alameda County, California, 94501, United States",510-769-5450,https://locations.traderjoes.com/ca/alameda/
Trader Joe's Aliso Viejo (195),Aliso Viejo,California,-117.72452434088245,33.577386399999995,POINT (-117.7245243408825 33.57738639999999),"Trader Joe's, 26541, Aliso Creek Road, Aliso Viejo, Orange County, California, 92656, United States",949-643-5531,https://locations.traderjoes.com/ca/aliso-viejo/
Trader Joe's Arroyo Grande (117),Arroyo Grande,California,-120.59405279942382,35.12569125,POINT (-120.5940527994238 35.12569125),"Trader Joe's, 955, Rancho Parkway, Arroyo Grande, San Luis Obispo County, California, 93420, United States",805-474-6114,https://locations.traderjoes.com/ca/arroyo-grande/
Trader Joe's Bakersfield (14),Bakersfield,California,-119.09498965771812,35.35446540939597,POINT (-119.0949896577181 35.35446540939597),"8200, Stockdale Highway, Bakersfield, Kern County, California, 93311, United States",661-837-8863,https://locations.traderjoes.com/ca/bakersfield/
Trader Joe's Berkeley (186),Berkeley,California,-122.2732154,37.8717025,POINT (-122.2732154 37.8717025),"Trader Joe's, 1885, University Avenue, Downtown Berkeley, Berkeley, Alameda County, California, 94704, United States",510-204-9074,https://locations.traderjoes.com/ca/berkeley/
